Nombre del gen;Siglas;Papers;Estudiado;Grupo;Comentario
Doublesex;dsx;Wexler et al., 2019;;Insect;Específico de artropodos
doublesex/mab-3 related ;Dmrt;Hopkins y Kopp, 2021;;;
Transformer;tra;Wexler et al., 2019;;Insect;
NK12-1;;Agarie et al., 2020;Blatodea;Hemimetábola;
Intersex;;Just, 2009;Blatodea;Hemimetábola;
Fruitless;;Just, 2009;Blatodea;Hemimetábola;
Doublesex-c;;Just, 2009;Blatodea;Hemimetábola;
Vitellogenin;;Chikami et al., 2021;;Insect;
Asiall-1 doublesex;Btdsx;Brar et al., 2023;Hemiptero;Hemimetábola;
Sex lethal;Sxl;Hopkins y Kopp, 2021;;Insect;
male-specific lethal 2;msl-2;Hopkins y Kopp, 2021;;Insect;
Masculinizer;Masc;Hopkins y Kopp, 2021;;Insect;
RNA-binding protein 3;RBP3/Aret;Hopkins y Kopp, 2021;Lepidoptero;Insect;
Feminizer;fem;Hopkins y Kopp, 2021/Saccone,2022;Lepidoptero/Hymenoptera;Insect;
miR-1-3p;;Hopkins y Kopp, 2021;Fruit fly;Insect;
transformer-2;tra-2;Saccone, 2022;fruit fly;Insect;En el paper hay una tabla
Dvdsx;;Saccone, 2022;Drosophila virilis;Insect;
sisterless-a;sis-a;Saccone, 2022;Fruit fly;Insect;
sisterless-b;sis-b;Saccone, 2022;Fruit fly;Insect;
daughterless;da;Saccone, 2022;Fruit fly;Insect;
Intersex;ix;Saccone, 2022;Fruit fly;Insect;
DvSxl;;Saccone, 2022;Drosophila virilis;Insect(diptera);
CrSxl;;Saccone, 2022;Chrysomya rufifacies;Insect(diptera);
MsSxl;;Saccone, 2022;Megaselia scalaris;Insect(diptera);
CcSxl;;Saccone, 2022;Ceratitis capitata;Insect(diptera);
MdSxl;;Saccone, 2022;Musca domestica;Insect(diptera);
BmSxl;;Saccone, 2022;Bombyx mori;Insect(Lepidoptera);
BoSxl;;Saccone, 2022;Bactrocera oleae;Insect(diptera);
Dvtra;;Saccone, 2022;Drosophila virilis;Insect(diptera);
Cctra;;Saccone, 2022;C. capitata;Insect(diptera);
Aotra, Agtra, Asetra, Asotra,Astri-tra, Abtra, Aatra, Altra;;Saccone, 2022;Anastrepha species;Insect(diptera);
SoSxl, ScSxl, RaSxl, TpSxl;;Saccone, 2022;Sicaridae speceies;Insect(diptera);
DpSxl;;Saccone, 2022;Drosphila pseudobscura;Insect(diptera);
Botra;;Saccone, 2022;Bactrocera oleae;Insect(diptera);
Lctra;;Saccone, 2022;Lucilia cuprina;Insect(diptera);
Mdtra;;Saccone, 2022;Musca domestica;Insect(diptera);
Tctra;;Saccone, 2022;Tribolium castaneum;Insect(Coleoptera);
Astra;;Saccone, 2022;Anastrepha suspensa;Insect(diptera);
Bjtra;;Saccone, 2022;Bactrocera jarvisi;Insect(diptera);
Bdtra;;Saccone, 2022;Bactrocera dorsalis;Insect(diptera);
Nvtra;;Saccone, 2022;Nasonia vitripennis;Insect(diptera);
Lc-tra;;Saccone, 2022;Leptopilina clavipes;Insect(diptera);
At-tra;;Saccone, 2022;Asobara tabida;Insect(Braconidae);
Ppetra;;Saccone, 2022;Phlebotomus pernicious;Insect(Psychodidae);
