qseqid;sseqid;pident;length;mismatch;gapopen;qstart;qend;sstart;send;evalue;bitscore
cluster_6;sp|P23803|ODD_DROME;35.417;48;29;1;8115;8252;195;242;0.034;38.1
cluster_8;sp|P80703|APLP3_GALME;29.167;72;41;1;2185;2000;32;103;7.8;28.5
cluster_23;sp|P08970|SUHW_DROME;29.644;253;164;9;3243;3986;292;535;7.46e-23;105
cluster_23;sp|P08970|SUHW_DROME;28.251;223;115;8;3243;3896;382;564;2.87e-14;77.8
cluster_23;sp|P08970|SUHW_DROME;27.184;206;124;9;3129;3743;434;614;9.66e-08;56.2
cluster_26;sp|Q9VX32|RG190_DROME;24.490;98;59;3;778;1041;3;95;1.4;32.7
cluster_32;sp|P35041|TRY7_ANOGA;46.789;218;108;4;3308;2661;56;267;1.93e-53;186
cluster_34;sp|Q9W058|SCOT_DROME;64.047;509;173;3;6030;4507;17;516;0.0;648
cluster_36;sp|Q00449|MDR49_DROME;50.782;1278;597;7;202;3957;31;1302;0.0;1217
cluster_38;sp|P24014|SLIT_DROME;31.579;57;36;1;1175;1336;659;715;0.072;37.0
cluster_38;sp|P24014|SLIT_DROME;26.667;60;41;1;1184;1354;461;520;0.37;34.3
cluster_38;sp|P24014|SLIT_DROME;35.294;51;30;1;1184;1327;857;907;0.39;34.3
cluster_38;sp|P24014|SLIT_DROME;30.508;59;38;1;1187;1354;240;298;1.5;32.3
cluster_43;sp|Q8SXT3|HFW2_DROME;34.703;438;264;9;160;1425;68;499;1.55e-57;205
cluster_55;sp|Q27896|TRF_DROME;30.159;63;41;1;5583;5404;13;75;1.2;32.3
cluster_67;sp|P10383|OTU_DROME;25.217;115;84;1;8785;8441;37;149;7.26e-09;60.1
cluster_69;sp|B0WSX1|MOCO2_CULQU;44.615;260;137;3;624;1388;480;737;1.65e-69;248
cluster_75;sp|Q9VY77|AJUBA_DROME;46.575;219;111;2;808;1449;489;706;4.84e-63;229
cluster_77;sp|P23128|DDX6_DROME;25.455;55;41;0;2204;2040;389;443;1.1;31.6
cluster_78;sp|Q9VZZ4|PXDN_DROME;26.736;288;172;15;953;1786;386;644;2.67e-10;65.1
cluster_78;sp|Q9VZZ4|PXDN_DROME;26.744;86;60;2;1511;1768;236;318;0.11;36.6
cluster_78;sp|Q9VZZ4|PXDN_DROME;22.360;161;96;7;2801;3208;382;538;0.81;33.9
cluster_78;sp|Q9VZZ4|PXDN_DROME;22.131;122;88;3;938;1300;472;587;1.7;32.7
cluster_81;sp|Q9VEN1|FLNA_DROME;24.263;1459;965;46;4380;319;787;2210;9.77e-85;310
cluster_81;sp|Q9VEN1|FLNA_DROME;24.528;1431;964;50;4389;325;687;2077;3.54e-79;291
cluster_81;sp|Q9VEN1|FLNA_DROME;25.817;1468;925;56;4410;319;291;1698;1.94e-77;286
cluster_81;sp|Q9VEN1|FLNA_DROME;25.470;1382;903;49;4203;307;270;1607;8.64e-76;280
cluster_81;sp|Q9VEN1|FLNA_DROME;25.974;1309;829;49;3972;319;256;1515;3.16e-70;262
cluster_81;sp|Q9VEN1|FLNA_DROME;25.504;992;662;31;3147;304;264;1222;1.96e-61;233
cluster_81;sp|Q9VEN1|FLNA_DROME;24.744;1075;718;35;3351;292;283;1321;3.75e-60;229
cluster_81;sp|Q9VEN1|FLNA_DROME;24.946;930;566;25;4413;1759;1368;2210;1.84e-56;217
cluster_81;sp|Q9VEN1|FLNA_DROME;25.041;607;382;22;7593;5956;1489;2083;1.10e-31;135
cluster_81;sp|Q9VEN1|FLNA_DROME;26.018;565;372;23;7497;5932;573;1134;6.33e-30;129
cluster_81;sp|Q9VEN1|FLNA_DROME;24.809;524;348;17;7404;5938;1391;1903;1.56e-29;128
cluster_81;sp|Q9VEN1|FLNA_DROME;22.596;624;421;21;7539;5818;369;980;2.60e-26;117
cluster_81;sp|Q9VEN1|FLNA_DROME;25.087;578;346;20;7473;5968;1644;2210;3.11e-26;117
cluster_81;sp|Q9VEN1|FLNA_DROME;32.313;294;186;8;1164;319;252;544;3.90e-24;110
cluster_81;sp|Q9VEN1|FLNA_DROME;24.561;513;341;19;7404;5992;315;823;3.74e-23;107
cluster_81;sp|Q9VEN1|FLNA_DROME;22.400;625;427;20;7539;5830;848;1469;5.79e-23;106
cluster_81;sp|Q9VEN1|FLNA_DROME;23.026;456;326;11;7134;5830;1394;1845;7.51e-22;103
cluster_81;sp|Q9VEN1|FLNA_DROME;25.787;508;321;19;7329;5929;245;737;2.30e-21;101
cluster_81;sp|Q9VEN1|FLNA_DROME;24.237;557;369;22;7419;5881;507;1054;5.50e-19;93.6
cluster_81;sp|Q9VEN1|FLNA_DROME;25.610;410;266;16;7038;5899;261;661;8.36e-17;86.7
cluster_89;sp|Q964R0|CP6K1_BLAGE;32.669;502;323;7;277;1755;1;496;1.03e-88;287
